#CO2(1)-ethanol(2) isothermal phase data
#T,y1,y2,x1,x2,P
293.15,0.9879,0.0121,0.0497,0.9503,680000.0
293.15,0.995,0.005,0.1315,0.8685,1670000.0
293.15,0.9967,0.0033,0.1692,0.8308,2140000.0
293.15,0.9978,0.0022,0.2417,0.7583,2870000.0
293.15,0.9983,0.0017,0.3062,0.6938,3540000.0
293.15,0.9978,0.0022,0.487,0.513,4620000.0
293.15,0.9983,0.0017,0.6977,0.3023,5150000.0
303.15,0.987,0.013,0.0596,0.9404,910000.0
303.15,0.9945,0.0055,0.1362,0.8638,2030000.0
303.15,0.9967,0.0033,0.2014,0.7986,2890000.0
303.15,0.996,0.004,0.2978,0.7022,4000000.0
303.15,0.9951,0.0049,0.3889,0.6111,4900000.0
303.15,0.9934,0.0066,0.5628,0.4372,5890000.0
303.15,0.9927,0.0073,0.5989,0.4011,6040000.0
