# Heat Transfer Handbook © 2003 John Wiley & Sons, Table: Table 2.7aa Thermophysical Properties of Methanol along the Saturation Line
#T, Psat, rhol, rhov
200, 61, 27474.40699, 0.003121099
250, 810, 25952.5593, 0.393258427
300, 18700, 24485.33084, 7.684144819
325, 60300, 23743.44569, 23.29275905
350, 161700, 22966.29213, 59.46629213
375, 374800, 22124.21973, 133.448814
400, 773700, 21179.46317, 272.6061174
425, 1456100, 20080.52434, 522.9088639
450, 2543300, 18741.88514, 962.2659176
475, 4168800, 16989.70037, 1696.972534
500, 6525000, 14092.69663, 3429.463171
