# i, xi, phi_tmpi, Ares, rho/np.exp(yi), dAres, dy,rho,yi,np.exp(yi)
0, 0.0, nan, [-6.00263921], [inf], [-6.00263921 -6.00263921], 0.0001, [21146.16997993], -inf, 0.0
1, 1.0, -4.534594546068192, [-6.00263921], [1.], [-6.00284256 -6.00243588], 0.0001, [21146.16997993], 9.959214079656551, 21146.169979929997
0, 0.00010101010101010101, -0.12838701584146062, [-6.00219415], [9900.], [-6.00219413 -6.00219418], 0.0001, [21146.16997993], 0.7589240435338698, 2.135976765649495
1, 0.99989898989899, -4.534476769238163, [-6.00219415], [1.00010102], [-6.00239751 -6.00199081], 0.0001, [21146.16997993], 9.959113064453677, 21144.034003164335
0, 0.00020202020202020202, -0.12828437711969531, [-6.0017491], [4950.], [-6.00174905 -6.00174914], 0.0001, [21146.16997993], 1.4520712240938152, 4.2719535312989905
1, 0.9997979797979798, -4.534358985000148, [-6.0017491], [1.00020206], [-6.00195246 -6.00154573], 0.0001, [21146.16997993], 9.959012039045701, 21141.898026398703
0, 0.00030303030303030303, -0.12818179856063283, [-6.00130404], [3300.], [-6.00130397 -6.00130411], 0.0001, [21146.16997993], 1.8575363322019796, 6.407930296948485
1, 0.9996969696969698, -4.534241193362913, [-6.00130404], [1.00030312], [-6.00150742 -6.00110067], 0.0001, [21146.16997993], 9.958911003430561, 21139.762049633056
0, 0.00040404040404040404, -0.12807930214481722, [-6.00085898], [2475.], [-6.00085889 -6.00085908], 0.0001, [21146.16997993], 2.1452184046537606, 8.543907062597981
1, 0.9995959595959596, -4.534123394361853, [-6.00085898], [1.0004042], [-6.00106237 -6.0006556 ], 0.0001, [21146.16997993], 9.958809957606194, 21137.626072867406
0, 0.000505050505050505, -0.12797666364974436, [-6.00041393], [1980.], [-6.00041381 -6.00041405], 0.0001, [21146.16997993], 2.3683619559679703, 10.679883828247476
1, 0.9994949494949495, -4.534005587952423, [-6.00041393], [1.00050531], [-6.00061733 -6.00021053], 0.0001, [21146.16997993], 9.958708901570535, 21135.490096101737
0, 0.0006060606060606061, -0.1278740941047407, [-5.99996888], [1650.], [-5.99996873 -5.99996902], 0.0001, [21146.16997993], 2.5506835127619247, 12.815860593896968
1, 0.9993939393939394, -4.533887774174477, [-5.99996888], [1.00060643], [-6.00017229 -5.99976547], 0.0001, [21146.16997993], 9.958607835321523, 21133.354119336083
0, 0.0007070707070707071, -0.12777146412572993, [-5.99952382], [1414.28571429], [-5.99952366 -5.99952399], 0.0001, [21146.16997993], 2.7048341925891832, 14.951837359546467
1, 0.9992929292929293, -4.5337699530279, [-5.99952382], [1.00070757], [-5.99972725 -5.9993204 ], 0.0001, [21146.16997993], 9.958506758857093, 21131.21814257046
0, 0.0008080808080808081, -0.12766879694938327, [-5.99907878], [1237.5], [-5.99907858 -5.99907897], 0.0001, [21146.16997993], 2.8383655852137055, 17.087814125195955
1, 0.9991919191919192, -4.533652124490333, [-5.99907878], [1.00080873], [-5.99928221 -5.99887534], 0.0001, [21146.16997993], 9.958405672175177, 21129.082165804808
0, 0.0009090909090909091, -0.12756611525412787, [-5.99863373], [1100.], [-5.99863351 -5.99863394], 0.0001, [21146.16997993], 2.9561486208700893, 19.223790890845457
1, 0.9990909090909091, -4.5335342885838905, [-5.99863373], [1.00090992], [-5.99883718 -5.99843028], 0.0001, [21146.16997993], 9.958304575273711, 21126.946189039172
0, 0.00101010101010101, -0.1274634282497633, [-5.99818868], [990.], [-5.99818844 -5.99818892], 0.0001, [21146.16997993], 3.0615091365279157, 21.359767656494952
1, 0.998989898989899, -4.533416445290669, [-5.99818868], [1.00101112], [-5.99839214 -5.99798522], 0.0001, [21146.16997993], 9.958203468150627, 21124.81021227349
0, 0.0011111111111111111, -0.12736070182837977, [-5.99774364], [900.], [-5.99774337 -5.9977439 ], 0.0001, [21146.16997993], 3.1568193163322404, 23.495744422144448
1, 0.9988888888888889, -4.533298594641659, [-5.99774364], [1.00111235], [-5.99794711 -5.99754017], 0.0001, [21146.16997993], 9.95810235080386, 21122.67423550786
0, 0.0012121212121212121, -0.12725793156941867, [-5.99729859], [825.], [-5.99729831 -5.99729888], 0.0001, [21146.16997993], 3.24383069332187, 25.63172118779394
1, 0.9987878787878788, -4.533180736641194, [-5.99729859], [1.00121359], [-5.99750208 -5.99709511], 0.0001, [21146.16997993], 9.958001223231342, 21120.538258742214
0, 0.0013131313131313131, -0.12715515837675628, [-5.99685355], [761.53846154], [-5.99685324 -5.99685386], 0.0001, [21146.16997993], 3.3238734009954065, 27.767697953443434
1, 0.9986868686868687, -4.533062871222459, [-5.99685355], [1.00131486], [-5.99705705 -5.99665006], 0.0001, [21146.16997993], 9.957900085431003, 21118.402281976563
0, 0.0014141414141414141, -0.12705232353725515, [-5.99640851], [707.14285714], [-5.99640817 -5.99640884], 0.0001, [21146.16997993], 3.3979813731491286, 29.903674719092933
1, 0.9985858585858586, -4.532944998483167, [-5.99640851], [1.00141614], [-5.99661202 -5.996205  ], 0.0001, [21146.16997993], 9.957798937400774, 21116.266305210902
0, 0.0015151515151515152, -0.12694951881958616, [-5.99596347], [660.], [-5.99596311 -5.99596383], 0.0001, [21146.16997993], 3.46697424463608, 32.03965148474242
