# i,xi[i],phi_tmp[i], Ares, rho, dAres, drho
0, 0.0, -2.5012066689742407, [-6.00263921], [21146.16997993], [-6.00263921 -6.00263921], [10.]
1, 1.0, -4.5345947377767, [-6.00263921], [21146.16997993], [-6.00360062 -6.00167745], [10.]
0, 0.000505050505050505, -0.12797606469235046, [-6.00041393], [21146.16997993], [-5.99929325 -6.00153574], [10.]
1, 0.9994949494949495, -4.534005779891723, [-6.00041393], [21146.16997993], [-6.00137611 -5.99945139], [10.]
0, 0.0006060606060606061, -0.12787346134664723, [-5.99996888], [21146.16997993], [-5.99884836 -6.00109052], [10.]
1, 0.9993939393939394, -4.53388796616705, [-5.99996888], [21146.16997993], [-6.00093121 -5.99900618], [10.]
0, 0.0007070707070707071, -0.1277708321575779, [-5.99952382], [21146.16997993], [-5.99840347 -6.00064531], [10.]
1, 0.9992929292929293, -4.5337701450594174, [-5.99952382], [21146.16997993], [-6.00048632 -5.99856098], [10.]
0, 0.0008080808080808081, -0.12766817712513845, [-5.99907878], [21146.16997993], [-5.99795858 -6.0002001 ], [10.]
1, 0.9991919191919192, -4.533652316577275, [-5.99907878], [21146.16997993], [-6.00004142 -5.99811577], [10.]
0, 0.0009090909090909091, -0.12756549624466595, [-5.99863373], [21146.16997993], [-5.99751369 -5.99975489], [10.]
1, 0.9990909090909091, -4.533534480717833, [-5.99863373], [21146.16997993], [-5.99959653 -5.99767057], [10.]
0, 0.00101010101010101, -0.12746278954057777, [-5.99818868], [21146.16997993], [-5.99706881 -5.99930968], [10.]
1, 0.998989898989899, -4.53341663748955, [-5.99818868], [21146.16997993], [-5.99915164 -5.99722537], [10.]
0, 0.0011111111111111111, -0.12736005698659847, [-5.99774364], [21146.16997993], [-5.99662392 -5.99886447], [10.]
1, 0.9988888888888889, -4.533298786891503, [-5.99774364], [21146.16997993], [-5.99870675 -5.99678017], [10.]
0, 0.0012121212121212121, -0.1272572985940048, [-5.99729859], [21146.16997993], [-5.99617904 -5.99841927], [10.]
1, 0.9987878787878788, -4.533180928921823, [-5.99729859], [21146.16997993], [-5.99826186 -5.99633497], [10.]
0, 0.0013131313131313131, -0.12715451435435776, [-5.99685355], [21146.16997993], [-5.99573416 -5.99797406], [10.]
1, 0.9986868686868687, -4.533063063587093, [-5.99685355], [21146.16997993], [-5.99781697 -5.99588977], [10.]
