# Saturation properties of ethane
# T, Psat, rhol , rhov
125.00, 0.00069669, 20411., 0.67027	
130.00, 0.0012917, 20225., 1.1952	
135.00, 0.0022755, 20038., 2.0284	
140.00, 0.0038315, 19850., 3.2959	
145.00, 0.0061970, 19661., 5.1529	
150.00, 0.0096698, 19470., 7.7851	
155.00, 0.014612, 19277., 11.409	
160.00, 0.021452, 19083., 16.272	
165.00, 0.030688, 18886., 22.650	
170.00, 0.042882, 18686., 30.849	
175.00, 0.058662, 18484., 41.200	
180.00, 0.078718, 18279., 54.065	
185.00, 0.10380, 18071., 69.830	
190.00, 0.13470, 17860., 88.911	
195.00, 0.17226, 17644., 111.75	
200.00, 0.21738, 17425., 138.83	
205.00, 0.27097, 17201., 170.66	
210.00, 0.33401, 16972., 207.80	
215.00, 0.40746, 16738., 250.86	
220.00, 0.49235, 16498., 300.52	
225.00, 0.58971, 16252., 357.52	
230.00, 0.70060, 15998., 422.72	
235.00, 0.82610, 15737., 497.07	
240.00, 0.96732, 15466., 581.71	
245.00, 1.1254, 15186., 677.96	
250.00, 1.3015, 14894., 787.43	
255.00, 1.4968, 14588., 912.05	
260.00, 1.7125, 14267., 1054.3	
265.00, 1.9501, 13927., 1217.3	
270.00, 2.2107, 13564., 1405.3	
275.00, 2.4960, 13172., 1623.9	
