Temperature (K), Saturated Pressure (Pa), liquid denisty (mol/m^3), vapor density (mol/m^3)
125.0, 763.4955737850967, 19721.941371678575, 0.7349149228360154
130.0, 1404.2141395346364, 19563.25107045178, 1.3000315719115496
135.0, 2454.9905686325155, 19402.57383065938, 2.1896020236036913
140.0, 4103.7557809607315, 19239.82204305262, 3.5315799024920396
145.0, 6591.6566048659, 19074.899760316723, 5.481645535178118
150.0, 10217.801656835294, 18907.701741502646, 8.223269830201534
155.0, 15342.276555622944, 18738.114400375147, 11.966826607685897
160.0, 22387.377312567634, 18566.014302813455, 16.94800449834503
165.0, 31837.055255965246, 18391.268232833503, 23.425807973016855
170.0, 44234.78466648788, 18213.732056627465, 31.680268788244806
