# Brunjes Bogart, Vapor-Liquid Equilibria for Commercially Important Systems of Organic Solvents, INDUSTRIAL AND ENGINEERING CHEMISTRY, Vol. 35, No. 2, 1943
T [K], P [Pa], x_ethanol, x_butanol, y_ethanol, y_butanol
352.3, 101324.7, 0.938, 0.062, 0.997, 0.003
353.5, 101324.7, 0.887, 0.113, 0.987, 0.013
354.2, 101324.7, 0.845, 0.155, 0.982, 0.018
356.5, 101324.7, 0.738, 0.262, 0.976, 0.024
357.1, 101324.7, 0.743, 0.257, 0.946, 0.054
358.9, 101324.7, 0.666, 0.334, 0.927, 0.073
359.6, 101324.7, 0.601, 0.399, 0.9, 0.1
361.5, 101324.7, 0.574, 0.426, 0.885, 0.115
361.3, 101324.7, 0.555, 0.445, 0.881, 0.119
363.8, 101324.7, 0.488, 0.512, 0.828, 0.172
366.7, 101324.7, 0.427, 0.573, 0.784, 0.216
369.6, 101324.7, 0.323, 0.677, 0.708, 0.292
374.5, 101324.7, 0.252, 0.748, 0.597, 0.403
379.1, 101324.7, 0.178, 0.822, 0.496, 0.504
384.3, 101324.7, 0.113, 0.887, 0.316, 0.684
387.5, 101324.7, 0.062, 0.938, 0.181, 0.819
