# www.ddbst.com/en/EED/PCP/VAP_C4.php
# T [K], P [Pa]
203.65, 0.05893e+3
209.55, 0.0944e+3
212.45, 0.11852e+3
234.05, 0.7971e+3
237.04, 0.9965e+3
243.25, 1.5812e+3
249.35, 2.365 e+3
253.34, 3.480 e+3
257.25, 3.893 e+3
262.12, 5.182 e+3
264.50, 6.041 e+3
267.05, 6.853 e+3
268.95, 7.442 e+3
269.74, 7.935 e+3
272.95, 9.290 e+3
273.46, 9.639e+3
275.97, 10.983e+3
276.61, 11.283e+3
277.23, 13.014e+3
282.03, 14.775e+3
283.06, 15.559e+3
288.94, 20.364e+3
291.49, 22.883e+3
293.15, 24.478e+3
293.15, 24.598e+3
293.85, 25.131e+3
294.25, 25.665e+3
294.45, 25.931e+3
294.60, 25.998e+3
294.63, 26.079e+3
294.85, 26.264e+3
297.05, 29.064e+3
297.45, 29.598e+3
298.15, 30.397e+3
298.15, 30.544e+3
298.15, 30.611e+3
298.15, 30.784e+3
298.15, 30.851e+3
299.86, 32.636e+3
300.75, 33.931e+3
301.35, 34.864e+3
303.15, 37.637e+3
303.15, 37.824e+3
304.35, 39.330e+3
304.85, 40.130e+3
305.45, 41.063e+3
306.25, 42.396e+3
308.15, 45.996e+3
308.15, 46.090e+3
308.15, 46.356e+3
308.22, 45.462e+3
308.35, 46.263e+3
308.45, 46.396e+3
308.85, 47.129e+3
309.05, 47.396e+3
311.65, 52.996e+3
311.85, 52.929e+3
311.85, 53.262e+3
311.95, 53.062e+3
312.25, 53.796e+3
314.68, 58.169e+3
314.85, 59.328e+3
317.75, 66.395e+3
317.85, 66.461e+3
318.05, 67.461e+3
318.15, 67.661e+3
318.66, 67.424e+3
320.35, 72.927e+3
320.35, 73.127e+3
320.45, 73.061e+3
320.65, 73.927e+3
322.55, 79.127e+3
322.65, 79.527e+3
322.85, 80.393e+3
322.95, 79.927e+3
322.95, 80.127e+3
323.35, 81.993e+3
323.55, 80.175e+3
324.65, 85.393e+3
324.75, 85.660e+3
324.85, 85.993e+3
324.85, 86.260e+3
325.15, 86.660e+3
327.05, 92.726e+3
327.15, 92.992e+3
327.20, 92.992e+3
327.25, 93.126e+3
327.35, 93.326e+3
328.22, 94.366e+3
328.75, 98.325e+3
328.85, 98.592e+3
333.73, 113.737e+3
338.95, 136.626e+3
