# www.ddbst.com/en/EED/PCP/VAP_C4.php
# T [K], P [Pa]
295.75, 0.7333e+3
298.13, 0.905e+3
303.15, 1.277e+3
304.05, 1.3732e+3
308.18, 1.809e+3
309.35, 1.973e+3
313.85, 2.613e+3
321.35, 4.133e+3
323.25, 4.593e+3
325.55, 5.280e+3
329.44, 6.540e+3
331.45, 7.373e+3
333.27, 8.091e+3
337.51, 10.100e+3
338.95, 10.852e+3
342.29, 12.910e+3
343.45, 13.812e+3
346.65, 16.185e+3
347.69, 16.850e+3
351.13, 19.870e+3
357.54, 26.700e+3
358.25, 27.731e+3
362.36, 33.045e+3
362.59, 33.370e+3
366.81, 39.974e+3
366.85, 40.030e+3
366.95, 40.463e+3
370.31, 46.230e+3
370.51, 46.601e+3
373.70, 53.090e+3
373.89, 53.450e+3
374.32, 54.436e+3
376.79, 59.932e+3
379.37, 66.280e+3
379.52, 66.632e+3
379.65, 67.594e+3
382.04, 73.331e+3
383.35, 77.140e+3
384.31, 79.856e+3
384.34, 79.930e+3
386.58, 86.807e+3
388.41, 92.750e+3
388.47, 92.995e+3
390.54, 100.142e+3
390.57, 100.210e+3
390.95, 102.125e+3
391.30, 102.830e+3
392.34, 106.705e+3
394.09, 113.412e+3
395.71, 119.945e+3
397.31, 126.628e+3
398.15, 123.100e+3
398.84, 133.322e+3
419.34, 254.731e+3
423.15, 269.200e+3
429.11, 335.690e+3
433.77, 381.995e+3
439.24, 439.041e+3
439.28, 439.447e+3
443.97, 492.946e+3
448.15, 515.300e+3
448.63, 554.957e+3
459.75, 719.306e+3
462.64, 764.497e+3
470.31, 905.744e+3
472.55, 947.794e+3
473.15, 925.700e+3
480.96, 1128.560e+3
482.32, 1158.750e+3
490.87, 1346.910e+3
492.30, 1404.470e+3
498.15, 1518.300e+3
502.06, 1683.210e+3
502.47, 1692.740e+3
512.82, 2023.360e+3
513.06, 2044.430e+3
522.92, 2404.750e+3
523.15, 2372.300e+3
523.20, 2412.550e+3
532.85, 2818.460e+3
533.23, 2827.880e+3
542.77, 3283.940e+3
548.15, 3567.100e+3
550.64, 3694.710e+3
556.89, 4053.610e+3
562.98, 4413.110e+3
