# www.ddbst.com/en/EED/PCP/VAP_C4.php
# T [K], P [Pa]
177.71, 0.00136e+3
178.02, 0.00137322000228e+3
181.45, 0.00226647988893e+3
184.22, 0.003213e+3
189.16, 0.005973e+3
197.21, 0.0136e+3
211.90, 0.06413e+3
219.86, 0.12826e+3
238.31, 0.656e+3
248.24, 1.264e+3
258.76, 2.560e+3
264.94, 3.120e+3
298.15, 20.492e+3
341.85, 100.792e+3
363.15, 189.000e+3
373.15, 245.300e+3
389.35, 370.000e+3
391.55, 390.000e+3
393.15, 402.000e+3
398.15, 445.100e+3
400.15, 470.000e+3
401.65, 480.000e+3
403.65, 500.000e+3
416.45, 660.000e+3
418.55, 690.000e+3
420.45, 710.000e+3
423.15, 749.000e+3
423.15, 753.000e+3
427.75, 820.000e+3
448.15, 1188.600e+3
453.15, 1301.000e+3
457.75, 1400.000e+3
459.85, 1460.000e+3
461.85, 1510.000e+3
466.15, 1630.000e+3
470.25, 1730.000e+3
473.15, 1804.600e+3
473.15, 1810.000e+3
474.05, 1840.000e+3
475.25, 1870.000e+3
483.15, 2112.000e+3
498.15, 2652.400e+3
502.15, 2813.500e+3
503.15, 2856.000e+3
504.15, 2896.100e+3
505.15, 2937.100e+3
506.15, 2982.000e+3
507.15, 3025.900e+3
507.85, 3043.000e+3
507.85, 3058.000e+3

